branch_id,branch_name,primary_branch_id,primary_branch_name,specialization_name,vertical
ARTS003,Fine Arts,ARTS,Arts,,Humanities
AUDI,Audiology,,,,Medical Allied
AUTOENG,Automobile Engineering,,,,Engineering
AUTOENG001,AU Automobile,AUTOENG,Automobile Engineering,,Engineering
AUTOENG002,"AT Automotive
Engg.",AUTOENG,Automobile Engineering,,Engineering
AUTOENG003,Automobile Engineering,AUTOENG,Automobile Engineering,,Engineering
AUTOENG004,Automobile,AUTOENG,Automobile Engineering,,Engineering
AUTOENG005,Automobile,AUTOENG,Automobile Engineering,,Engineering
AYUR,Ayurveda,,,,Ayurveda
BCA,Computer Application,,,,Science
BCA001,BCA,BCA,Computer Application,,Science
BIO,Biology,,,,Science
BIO001,Biology,BIO,Biology,,Science
BIO002,"Biology, Botany/Zoology",BIO,Biology,,Science
BIO003,Microbiology,BIO,Biology,,Science
BIOCHEM,Biochemistry,,,,Science
BIOCHEM001,"Biochemistry, Microbiology, Biotechnology",BIOCHEM,Biochemistry,,Science
BIOCHEM002,Biochemistry,BIOCHEM,Biochemistry,,Science
BIOCHEMENG,Biochemical Engineering,,,,Engineering
BIOCHEMENG001,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",BIOCHEMENG,Biochemical Engineering,Biotechnology,Engineering
BIOENG,Biological Engineering,,,,Engineering
BIOENG001,"Biological Engineering (4 Years, Bachelor of Technology)",BIOENG,Biological Engineering,,Engineering
BIOENG002,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",BIOENG,Biological Engineering,,Engineering
BIOENG003,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BIOENG,Biological Engineering,,Engineering
BIOENG004,"Bio Engineering (4 Years, Bachelor of Technology)",BIOENG,Biological Engineering,,Engineering
BIOENG005,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",BIOENG,Biological Engineering,Biotechnology,Engineering
BIOMEDENG,Biomedical Engineering,,,,Engineering
BIOMEDENG001,"Biomedical Engineering (4 Years, Bachelor of Technology)",BIOMEDENG,Biomedical Engineering,,Engineering
BIOMEDENG002,"Bio Medical Engineering (4 Years, Bachelor of Technology)",BIOMEDENG,Biomedical Engineering,,Engineering
BIOMEDENG003,BM Bio Medical,BIOMEDENG,Biomedical Engineering,,Engineering
BIOMEDENG004,"BR BioMed. and
Robotic Engg",BIOMEDENG,Biomedical Engineering,,Engineering
BIOMEDENG005,Bio Medical Engineering,BIOMEDENG,Biomedical Engineering,,Engineering
BIOMEDENG006,Biomedical,BIOMEDENG,Biomedical Engineering,,Engineering
BIOMEDENG007,Biomedical,BIOMEDENG,Biomedical Engineering,,Engineering
BIOSCI,Biological Science And Engineering,,,,Engineering
BIOSCI001,"Biological Science (4 Years, Bachelor of Science)",BIOSCI,Biological Science And Engineering,,Engineering
BIOTECH,Biotechnology,,,,Science
BIOTECH001,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",BIOTECH,Biotechnology,,Science
BIOTECH002,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",BIOTECH,Biotechnology,,Science
BIOTECH003,"Bio Technology (4 Years, Bachelor of Technology)",BIOTECH,Biotechnology,,Science
BIOTECH004,"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",BIOTECH,Biotechnology,,Science
BIOTECH005,BT Bio Technology,BIOTECH,Biotechnology,,Science
BIOTECH006,Bio Technology,BIOTECH,Biotechnology,,Science
BIOTECH007,Biotechnology,BIOTECH,Biotechnology,,Science
BIOTECH008,"Biotechnology, Biomedical",BIOTECH,Biotechnology,,Science
BIOTECH009,"Biotechnology, Biochemistry",BIOTECH,Biotechnology,,Science
BIOTECH010,Bioinformatics,BIOTECH,Biotechnology,,Science
BOT,Botany,,,,Science
BOT001,Botany/Zoology,BOT,"Botany, Zoology",,Science
BOT002,"Botany/Zoology, Chemistry, Biology",BOT,Botany,,Science
CA,CA,,,,Commerce
CERAMIC,Ceramic Engineering,,,,Engineering
CERAMIC001,"Ceramic Engineering (4 Years, Bachelor of Technology)",CERAMIC,Ceramic Engineering,,Engineering
CERAMIC002,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",CERAMIC,Ceramic Engineering,,Engineering
CERAMIC003,"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",CERAMIC,Ceramic Engineering,Industrial Ceramics,Engineering
CERAMIC004,CR Ceramics,CERAMIC,Ceramic Engineering,,Engineering
CERAMIC005,Industrial Ceramics,CERAMIC,Ceramic Engineering,,Engineering
CHEM,Chemistry,,,,Science
CHEM001,"Chemistry (4 Years, Bachelor of Science)",CHEM,Chemistry,,Science
CHEM002,"Chemistry with Specialization (4 Years, Bachelor of Science)",CHEM,Chemistry,,Science
CHEM003,"Chemistry (5 Years, Integrated Master of Science)",CHEM,Chemistry,,Science
CHEM004,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",CHEM,Chemistry,,Science
CHEM005,"Chemistry, Botany/Zoology",CHEM,"Chemistry, Botany",,Science
CHEM006,Chemistry,CHEM,Chemistry,,Science
CHEM007,"Chemistry, Biology, Botany/Zoology",CHEM,Chemistry,,Science
CHEM008,"Botany/Zoology, Chemistry",CHEM,"Chemistry, Botany",,Science
CHEM009,"Chemical, Botany/Zoology",CHEM,Chemistry,,Science
CHEM010,"Chemistry, Botany",CHEM,Chemistry,,Science
CHEMENG,Chemical Engineering,,,,Engineering
CHEMENG001,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",CHEMENG,Chemical Engineering,,Engineering
CHEMENG002,"Chemical Engineering (4 Years, Bachelor of Technology)",CHEMENG,Chemical Engineering,,Engineering
CHEMENG003,"B.Tech (Chemical Engineering) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",CHEMENG,Chemical Engineering,,Engineering
CHEMENG004,"Chemical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",CHEMENG,Chemical Engineering,,Engineering
CHEMENG005,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",CHEMENG,Chemical Engineering,,Engineering
CHEMENG006,"Chemical Engineering (5 Years, Integrated Masters in Technology)",CHEMENG,Chemical Engineering,,Engineering
CHEMENG007,CH Chemical,CHEMENG,Chemical Engineering,,Engineering
CHEMENG008,Petro Chemical Engineering,CHEMENG,Chemical Engineering,,Engineering
CHEMENG009,Chemical Engineering,CHEMENG,Chemical Engineering,,Engineering
CHEMENG010,Petro Chemical Technology,CHEMENG,Chemical Engineering,,Engineering
CHEMENG011,Chemical,CHEMENG,Chemical Engineering,,Engineering
CHEMSCI,Chemical Science And Technology,,,,Science
CHEMSCI001,"Chemical Science and Technology (4 Years, Bachelor of Technology)",CHEMSCI,Chemical Science And Technology,,Science
CHEMSCI002,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",CHEMSCI,Chemical Science,,Science
CHEMSCI003,"BS in Chemical Sciences (4 Years, Bachelor of Science)",CHEMSCI,Chemical Science,,Science
CHEMSCI004,"B.Tech (Chemical Science and Technology) - MBA in Hospital and Health Care Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",CHEMSCI,Chemical Science,,Science
CHEMSCI005,Chemical Science,CHEMSCI,Chemical Science And Technology,,Science
CIVILENG,Civil Engineering,,,,Engineering
CIVILENG001,"Civil Engineering (4 Years, Bachelor of Technology)",CIVILENG,Civil Engineering,,Engineering
CIVILENG002,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",CIVILENG,Civil Engineering,,Engineering
CIVILENG003,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",CIVILENG,Civil Engineering,,Engineering
CIVILENG004,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",CIVILENG,Civil Engineering,Geological Technology,Engineering
CIVILENG005,"B.Tech (Civil Engineering) - MBA (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",CIVILENG,Civil Engineering,MBA,Engineering
CIVILENG006,"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",CIVILENG,Civil Engineering,Structural Engineering,Engineering
CIVILENG007,"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",CIVILENG,Civil Engineering,Construction Technology,Engineering
CIVILENG008,"B.Tech in Civil Engineering (Rail Engineering) (4 Years, Bachelor of Technology)",CIVILENG,Civil Engineering,Rail Engineering,Engineering
CIVILENG009,"Civil and Environmental Engineering (4 Years, Bachelor of Technology)",CIVILENG,Civil Engineering,,Engineering
CIVILENG010,"Integrated B. Tech. - M. Tech in Civil Engineering (5 Years, Integrated B. Tech. and M. Tech.)",CIVILENG,Civil Engineering,,Engineering
CIVILENG011,CE Civil,CIVILENG,Civil Engineering,,Engineering
CIVILENG012,"CK Civil Engg
(Kannada)",CIVILENG,Civil Engineering,,Engineering
CIVILENG013,"CV Civil
Environment Engg",CIVILENG,Civil Engineering,,Engineering
CIVILENG014,Civil Engineering,CIVILENG,Civil Engineering,,Engineering
CIVILENG015,Civil and Infrastructure Engineering,CIVILENG,Civil Engineering,,Engineering
CIVILENG016,Civil Engineering and Planning,CIVILENG,Civil Engineering,,Engineering
CIVILENG017,"Civil and Environmental
Engineering",CIVILENG,Civil Engineering,,Engineering
CIVILENG018,Civil,CIVILENG,Civil Engineering,,Engineering
CIVILENG019,"Civil, Electrical/Electronics",CIVILENG,Civil Engineering,,Engineering
CIVILENG020,Transportation Engineering,CIVILENG,Civil Engineering,,Engineering
CIVILENG025,Structural Engineering,CIVILENG,Civil Engineering,,Engineering
CIVILENG021,Construction Technology,CIVILENG,Civil Engineering,,Engineering
CIVILENG022,Structural Engineering,CIVILENG,Civil Engineering,,Engineering
CIVILENG023,Structural Engineering,CIVILENG,Structural Engineering,,Engineering
CIVILENG024,"CT Const. Tech.
Mgmt.",CIVILENG,Construction Technology,,Engineering
COMMERCE,Commerce,,,,Commerce
COMMERCE001,BCom,COMMERCE,Commerce,,Commerce
CSIT,Computer Science / Information Technology,,,,Engineering
CSIT001,Information Technology,CSIT,Computer Science / Information Technology,,Engineering
CSIT002,Computer Science,CSIT,Computer Science / Information Technology,,Engineering
CSIT003,Business Informatics,CSIT,Computer Science / Information Technology,,Engineering
CSIT004,Human Computer Interface,CSIT,Computer Science / Information Technology,,Engineering
CSIT005,"Information Technology (4 Years, Bachelor of Technology)",CSIT,Information Technology,,Engineering
CSIT006,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",CSIT,Information Technology,MBA,Engineering
CSIT007,"Information Technology-Business Informatics (4 Years, Bachelor of Technology)",CSIT,Information Technology,Business Informatics,Engineering
CSIT008,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",CSIT,Information Technology,,Engineering
CSIT009,IE Info.Science,CSIT,Information Technology,,Engineering
CSIT010,"IG Information
Technology",CSIT,Information Technology,,Engineering
CSIT011,"IS Information Sc.
and Tech.",CSIT,Information Technology,,Engineering
CSIT012,Information Technology,CSIT,Information Technology,,Engineering
CSIT013,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,,Engineering
CSIT014,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",CSIT,Computer Science And Engineering,,Engineering
CSIT015,"Computational Engineering (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,,Engineering
CSIT016,"B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",CSIT,Computer Science And Engineering,MBA,Engineering
CSIT017,"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",CSIT,Computer Science And Engineering,,Engineering
CSIT018,"Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT019,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT020,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT021,"Computer Science Engineering (Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT022,"Computer Science Engineering (Data Science) (4 Years, B. Tech / B. Tech (Hons.))",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT023,"Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT024,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT025,"Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT026,"Computer Science (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,,Engineering
CSIT027,"Computer Science and Business (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,,Engineering
CSIT028,"Computer Science and Engineering (Cyber Security) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,,Engineering
CSIT029,"Computer Science and Engineering with specialization in Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT030,"Computer Science Engineering (Artificial lntelligence and Machine Learning) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT031,"Computer Science Engineering (Data Science and Analytics) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT032,"Computer Science and Engineering (Data Science) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT033,"Computer Science and Engineering with specialization in Cyber Security (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT034,"Computer Science Engineering (Human Computer lnteraction and Gaming Technology) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Human Computer Interface,Engineering
CSIT035,"Computer Engineering (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,,Engineering
CSIT036,"CSE ( Data Science & Analytics) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT037,"Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))",CSIT,Computer Science And Engineering,,Engineering
CSIT038,"Computer Science and Engineering (Cyber Physical System) (4 Years, Bachelor of Technology)",CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT039,"Integrated B. Tech. - M. Tech in Computer Science & Engineering (5 Years, Integrated B. Tech. and M. Tech.)",CSIT,Computer Science And Engineering,,Engineering
CSIT040,CS Computers,CSIT,Computer Science And Engineering,,Engineering
CSIT041,"CA CS (AI, Machine
Learning)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT042,"CY CS- Cyber
Security",CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT043,"CD Computer Sc.
and Design",CSIT,Computer Science And Engineering,Design,Engineering
CSIT044,"DS Comp. Sc. Engg-
Data Sc.",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT045,"CC Computer and
Comm. Engg.",CSIT,Computer Science And Engineering,,Engineering
CSIT046,"CB Comp. Sc. and
Bus Sys.",CSIT,Computer Science And Engineering,,Engineering
CSIT047,"CO Computer
Engineering",CSIT,Computer Science And Engineering,,Engineering
CSIT048,"CF CS(Artificial
Intel.)",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT049,"IC CS-IoT, Cyber
Security",CSIT,Computer Science And Engineering,Internet Of Things,Engineering
CSIT050,"CI Computer and
Information",CSIT,Computer Science And Engineering,,Engineering
CSIT051,"SS CS and System
Engg",CSIT,Computer Science And Engineering,Systems Engineering,Engineering
CSIT052,BD CS- Big Data,CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT053,"CG Computer
Science and Tech",CSIT,Computer Science And Engineering,,Engineering
CSIT054,"IO CS- Internet of
Things",CSIT,Computer Science And Engineering,Internet Of Things,Engineering
CSIT055,LC CS- Block Chain,CSIT,Computer Science And Engineering,,Engineering
CSIT056,"OP Comp. Sc. Engg-
Dev Ops",CSIT,Computer Science And Engineering,,Engineering
CSIT057,"Computer Science and
Engineering",CSIT,Computer Science And Engineering,,Engineering
CSIT058,Computer Engineering,CSIT,Computer Science And Engineering,,Engineering
CSIT059,"Computer Science and
Engineering(Data Science)",CSIT,Computer Science And Engineering,Data Science,Engineering
CSIT060,"Computer Science and
Engineering(Artificial",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT061,"Computer Science and
Design",CSIT,Computer Science And Engineering,Design,Engineering
CSIT062,"Electronics and Computer
Science",CSIT,Computer Science And Engineering,,Engineering
CSIT063,Computer Science and Technology,CSIT,Computer Science And Engineering,,Engineering
CSIT064,"Computer Science and
Engineering (Internet of",CSIT,Computer Science And Engineering,Internet Of Things,Engineering
CSIT065,Cyber Security,CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT066,"Computer Science and
Engineering(Cyber",CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT067,Computer Science,CSIT,Computer Science And Engineering,,Engineering
CSIT068,"Electrical and Computer
Engineering",CSIT,Computer Science And Engineering,,Engineering
CSIT069,Computer Technology,CSIT,Computer Science And Engineering,,Engineering
CSIT070,"Computer Science and
Engineering (Cyber",CSIT,Computer Science And Engineering,Cyber Security,Engineering
CSIT071,"Computer Science and
Engineering (IoT)",CSIT,Computer Science And Engineering,Internet Of Things,Engineering
CSIT072,"Computer Science and
Engineering (Artificial",CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT073,"Computer Science and
Business Systems",CSIT,Computer Science And Engineering,Business Informatics,Engineering
CSIT074,"Computer Engineering
(Software Engineering)",CSIT,Computer Science And Engineering,,Engineering
CSIT075,"Computer Science and
Information Technology",CSIT,Computer Science And Engineering,,Engineering
CSIT076,Computer Science and Engineering (Artificial Intelligence and Data Science),CSIT,Computer Science And Engineering,Artificial Intelligence,Engineering
CSIT077,CS/IT,CSIT,Computer Science And Engineering,,Engineering
CSIT078,"CS/IT, Physics/Chemistry/Mathematics",CSIT,Computer Science,,Engineering
CSIT079,"CS/IT, Physics/Chemistry/Mathematics, Geology",CSIT,Computer Science,,Engineering
CSIT080,"CS/IT, Design",CSIT,Computer Science,,Engineering
CYBERSEC,Cyber Security,,,,Engineering
DAIRYENG,Dairy Engineering,,,,Engineering
DAIRYENG001,"Dairy Engineering (4 Years, Bachelor of Technology)",DAIRYENG,Dairy Engineering,,Engineering
DEFENCE,Military,,,,Defence
DEFENCE001,Armed Forces,DEFENCE,Military,,Defence
DENTAL,Dental,,,,Medical Allied
DESIGN,Design,,,,Design
DESIGN001,"Bachelor of Design (4 Years, Bachelor of Design)",DESIGN,Design,,Design
DESIGN002,Design,DESIGN,Design,,Design
DESIGN003,"Other, Design",DESIGN,Design,,Design
EARTHSCI,Earth Science And Engineering,,,,Engineering
EARTHSCI001,"Earth Sciences (4 Years, Bachelor of Science)",EARTHSCI,Earth Science And Engineering,,Engineering
ECON,Economics,,,,Commerce
ECON001,"Economics (4 Years, Bachelor of Science)",ECON,Economics,,Commerce
ECON002,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",ECON,Economics,,Commerce
ECON003,"BS in Economics with MBA (IIM Bodh Gaya) (5 Years, Bachelor of Science and MBA (Dual Degree))",ECON,Economics,MBA,Commerce
ECON004,"Quantitative Economics & Data Science (5 Years, Integrated Master of Science)",ECON,Economics,,Commerce
ECON005,Economics,ECON,Economics,,Commerce
ECON006,"Economics, Political Science",ECON,Economics,,Commerce
ELEC,Electrical / Electronics / Communications Engineering,,,,Engineering
ELEC001,Electrical Engineering,ELEC,Electrical / Electronics / Communications Engineering,,Engineering
ELEC002,Electrical And Electronics Engineering,ELEC,Electrical / Electronics / Communications Engineering,,Engineering
ELEC003,VLSI,ELEC,Electrical / Electronics / Communications Engineering,,Engineering
ELEC004,5G,ELEC,Electrical / Electronics / Communications Engineering,,Engineering
ELEC005,Power Systems Engineering,ELEC,Electrical / Electronics / Communications Engineering,,Engineering
ELEC006,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ELEC,Electronics And Communications Engineering,,Engineering
ELEC007,"Electrical Engineering (4 Years, Bachelor of Technology)",ELEC,Electrical Engineering,,Engineering
ELEC008,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",ELEC,Electrical Engineering,,Engineering
ELEC009,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ELEC,Electronics And Communications Engineering,,Engineering
ELEC010,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,Electrical Engineering,,Engineering
ELEC011,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",ELEC,Electrical And Electronics Engineering,,Engineering
ELEC012,"Electronics Engineering (4 Years, Bachelor of Technology)",ELEC,Electrical Engineering,,Engineering
ELEC013,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",ELEC,Electrical Engineering,,Engineering
ELEC014,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,Electrical Engineering,Power Systems Engineering,Engineering
ELEC015,"Integrated Circuit Design & Technology (4 Years, Bachelor of Technology)",ELEC,Electrical Engineering,,Engineering
ELEC016,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",ELEC,Electrical And Electronics Engineering,,Engineering
ELEC017,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",ELEC,Electronics And Communications Engineering,VLSI,Engineering
ELEC018,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",ELEC,Electronics And Communications Engineering,VLSI,Engineering
ELEC019,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",ELEC,Electronics And Communications Engineering,VLSI,Engineering
ELEC020,"B.Tech (Electronics and Communication Engineering) - MBA in Hospital and Healthcare Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",ELEC,Electronics And Communications Engineering,MBA,Engineering
ELEC021,"B. Tech. (EEE)-M. Tech. in (Power &. Control) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",ELEC,Electrical And Electronics Engineering,Power Systems Engineering,Engineering
