Institute,Academic Program Name,Category,Gender,Defense,PWD,State,Category_Key,Closing Rank
"Sant Gadge Baba Amravati University,Amravati",Food Technology,OBC,Female-Only,No,No,Maharashtra,LOBCH,85239
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,116850
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,73995
"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,137370
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,96082
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,106203
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,107265
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,39830
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,91096
"Government College of Engineering,Yavatmal",Civil Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,74562
"Government College of Engineering,Yavatmal",Civil Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,101880
"Government College of Engineering,Yavatmal",Civil Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,80305
"Government College of Engineering,Yavatmal",Civil Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,86831
"Government College of Engineering,Yavatmal",Civil Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,82581
"Government College of Engineering,Yavatmal",Civil Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,108125
"Government College of Engineering,Yavatmal",Civil Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,99853
"Government College of Engineering,Yavatmal",Civil Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,102191
"Government College of Engineering,Yavatmal",Civil Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT3H,117501
"Government College of Engineering,Yavatmal",Civil Engineering,NT,Female-Only,No,No,Maharashtra,LNT1H,94340
"Government College of Engineering,Yavatmal",Computer Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,31195
"Government College of Engineering,Yavatmal",Computer Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,45916
"Government College of Engineering,Yavatmal",Computer Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,31317
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,32367
"Government College of Engineering,Yavatmal",Computer Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,32855
"Government College of Engineering,Yavatmal",Computer Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,28640
"Government College of Engineering,Yavatmal",Computer Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,29760
"Government College of Engineering,Yavatmal",Computer Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,42392
"Government College of Engineering,Yavatmal",Computer Engineering,ST,Gender-Neutral,No,No,Maharashtra,GSTH,69281
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,40791
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Female-Only,No,No,Maharashtra,LSTH,96270
"Government College of Engineering,Yavatmal",Computer Engineering,NT,Female-Only,No,No,Maharashtra,LNT3H,81697
"Government College of Engineering,Yavatmal",Computer Engineering,Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,109414
"Government College of Engineering,Yavatmal",Electrical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,68570
"Government College of Engineering,Yavatmal",Electrical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,80470
"Government College of Engineering,Yavatmal",Electrical Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,82248
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,80510
"Government College of Engineering,Yavatmal",Electrical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,74433
"Government College of Engineering,Yavatmal",Electrical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,64063
"Government College of Engineering,Yavatmal",Electrical Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,68856
"Government College of Engineering,Yavatmal",Electrical Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,66750
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Female-Only,No,No,Maharashtra,LNT2H,68446
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,78055
"Government College of Engineering,Yavatmal",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT3H,136539
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,48301
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",SC,Gender-Neutral,No,No,Maharashtra,GSCH,76557
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",VJ,Gender-Neutral,No,No,Maharashtra,GVJH,63812
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT1H,61377
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,52485
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,48581
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",OBC,Female-Only,No,No,Maharashtra,LOBCH,50328
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",SC,Female-Only,No,No,Maharashtra,LSCH,54145
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT2H,72438
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT3H,64496
"Government College of Engineering,Yavatmal","Electronics and
Telecommunication Engg",VJ,Female-Only,No,No,Maharashtra,LVJH,87291
"Government College of Engineering,Yavatmal",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,80361
"Government College of Engineering,Yavatmal",Mechanical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCH,112853
"Government College of Engineering,Yavatmal",Mechanical Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,102627
"Government College of Engineering,Yavatmal",Mechanical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,89267
"Government College of Engineering,Yavatmal",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENH,93781
"Government College of Engineering,Yavatmal",Mechanical Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCH,107714
"Government College of Engineering,Yavatmal",Mechanical Engineering,SC,Female-Only,No,No,Maharashtra,LSCH,112711
"Government College of Engineering,Yavatmal",Mechanical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,140543
"Government College of Engineering,Yavatmal",Mechanical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT3H,85464
"Government College of Engineering,Yavatmal",Mechanical Engineering,Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,109381
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,14854
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",SC,Gender-Neutral,No,No,Maharashtra,GSCH,30173
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT1H,21316
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,15196
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",Open,Female-Only,No,No,Maharashtra,LOPENH,13862
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",OBC,Female-Only,No,No,Maharashtra,LOBCH,15422
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",SC,Female-Only,No,No,Maharashtra,LSCH,25613
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",ST,Gender-Neutral,No,No,Maharashtra,GSTH,93810
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",NT,Female-Only,No,No,Maharashtra,LSTH,95619
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,71361
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",VJ,Female-Only,No,No,Maharashtra,LVJH,42413
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Computer Science and
Engineering",OBC,Gender-Neutral,No,Yes,Maharashtra,PWDROBC,101841
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,19526
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,SC,Gender-Neutral,No,No,Maharashtra,GSCH,37565
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,26939
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,26676
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,20546
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,17697
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,OBC,Female-Only,No,No,Maharashtra,LOBCH,17917
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,SC,Female-Only,No,No,Maharashtra,LSCH,33446
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,ST,Gender-Neutral,No,No,Maharashtra,GSTH,70085
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT2H,24105
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,NT,Female-Only,No,No,Maharashtra,LNT3H,30178
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENH,101242
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,OBC,Gender-Neutral,No,Yes,Maharashtra,PWDROBC,113116
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,52831
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",SC,Gender-Neutral,No,No,Maharashtra,GSCH,66416
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",VJ,Gender-Neutral,No,No,Maharashtra,GVJH,80109
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,54163
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",Open,Female-Only,No,No,Maharashtra,LOPENH,46107
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",OBC,Female-Only,No,No,Maharashtra,LOBCH,49801
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",SC,Female-Only,No,No,Maharashtra,LSCH,64394
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",ST,Gender-Neutral,No,No,Maharashtra,GSTH,94732
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",NT,Gender-Neutral,No,No,Maharashtra,GNT2H,53997
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electrical Engg[Electronics
and Power]",NT,Gender-Neutral,No,No,Maharashtra,GNT3H,61755
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENH,33662
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electronics and
Telecommunication Engg",SC,Gender-Neutral,No,No,Maharashtra,GSCH,51008
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT1H,52986
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,36753
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENH,34208
