Institute,State,Exam,College_ID
"National Institute of Technology, Warangal",Telangana,JEE Main,32
"Sardar Vallabhbhai National Institute of Technology, Surat",Gujarat,JEE Main,33
"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra,JEE Main,34
"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,JEE Main,35
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Madhya Pradesh,JEE Main,36
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Rajasthan,JEE Main,37
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Haryana,JEE Main,38
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Himachal Pradesh,JEE Main,39
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Andhra Pradesh,JEE Main,40
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Gujarat,JEE Main,41
"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,JEE Main,42
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",Tamil Nadu,JEE Main,43
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Madhya Pradesh,JEE Main,44
Indian Institute of Information Technology Tiruchirappalli,Tamil Nadu,JEE Main,45
Indian Institute of Information Technology(IIIT) Dharwad,Karnataka,JEE Main,46
Indian Institute of Information Technology(IIIT) Kottayam,Kerala,JEE Main,47
Indian Institute of Information Technology (IIIT) Ranchi,Jharkhand,JEE Main,48
Indian Institute of Information Technology (IIIT) Nagpur,Maharashtra,JEE Main,49
Indian Institute of Information Technology (IIIT) Pune,Maharashtra,JEE Main,50
Indian Institute of Information Technology Bhopal,Madhya Pradesh,JEE Main,51
"Indian Institute of Information Technology, Agartala",Tripura,JEE Main,52
"Indian institute of information technology, Raichur, Karnataka",Karnataka,JEE Main,53
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",Diu,JEE Main,54
"Birla Institute of Technology, Mesra, Ranchi",Jharkhand,JEE Main,55
Sant Longowal Institute of Engineering and Technology,Punjab,JEE Main,56
"Punjab Engineering College, Chandigarh",Punjab,JEE Main,57
"Puducherry Technological University, Puducherry",Puducherry,JEE Main,58
Indian Institute of Technology Indore,Madhya Pradesh,JEE Advanced,59
Indian Institute of Technology Hyderabad,Telangana,JEE Advanced,60
Indian Institute of Technology Jodhpur,Rajasthan,JEE Advanced,61
Indian Institute of Technology Madras,Tamil Nadu,JEE Advanced,62
Indian Institute of Technology Patna,Bihar,JEE Advanced,63
Indian Institute of Technology (BHU) Varanasi,Uttar Pradesh,JEE Advanced,64
Indian Institute of Technology Bhilai,Chhatisgarh,JEE Advanced,65
Indian Institute of Technology Palakkad,Kerala,JEE Advanced,66
Indian Institute of Technology Tirupati,Andhra Pradesh,JEE Advanced,67
Indian Institute of Technology Jammu,Jammu & Kashmir,JEE Advanced,68
Indian Institute of Technology Dharwad,Karnataka,JEE Advanced,69
National Institute of Technology Agartala,Tripura,JEE Main,70
National Institute of Technology Goa,Goa,JEE Main,71
"National Institute of Technology, Kurukshetra",Haryana,JEE Main,72
"National Institute of Technology, Manipur",Manipur,JEE Main,73
"National Institute of Technology, Mizoram",Mizoram,JEE Main,74
"National Institute of Technology, Srinagar",Jammu & Kashmir,JEE Main,75
"National Institute of Technology, Uttarakhand",Jammu & Kashmir,JEE Main,76
"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal,JEE Main,77
Indian Institute of Information Technology Guwahati,Assam,JEE Main,78
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",West Bengal,JEE Main,79
Indian Institute of Information Technology Manipur,Manipur,JEE Main,80
Indian Institute of Information Technology Lucknow,Uttar Pradesh,JEE Main,81
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",Andhra Pradesh,JEE Main,82
Indian Institute of Information Technology Bhagalpur,Bihar,JEE Main,83
Indian Institute of Information Technology Surat,Gujarat,JEE Main,84
"Assam University, Silchar",Assam,JEE Main,85
"Gurukula Kangri Vishwavidyalaya, Haridwar",Uttar Pradesh,JEE Main,86
"Indian Institute of Carpet Technology, Bhadohi",Uttar Pradesh,JEE Main,87
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",Gujarat,JEE Main,88
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",Chhatisgarh,JEE Main,89
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",Uttar Pradesh,JEE Main,90
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",Maharashtra,JEE Main,91
"National Institute of Advanced Manufacturing Technology, Ranchi",Jharkhand,JEE Main,92
"Mizoram University, Aizawl",Mizoram,JEE Main,93
"School of Engineering, Tezpur University, Napaam, Tezpur",Assam,JEE Main,94
"School of Planning & Architecture, Bhopal",Madhya Pradesh,JEE Main,95
"School of Planning & Architecture, New Delhi",New Delhi,JEE Main,96
School of Planning & Architecture: Vijayawada,Andhra Pradesh,JEE Main,97
University of Hyderabad,Telangana,JEE Main,98
"Jawaharlal Nehru University, Delhi",New Delhi,JEE Main,99
"International Institute of Information Technology, Bhubaneswar",Odisha,JEE Main,100
"Central institute of Technology Kokrajar, Assam",Assam,JEE Main,101
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",West Bengal,JEE Main,102
"Central University of Rajasthan, Rajasthan",Rajasthan,JEE Main,103
"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",Haryana,JEE Main,104
"National Institute of Food Technology, Entrepreneurship and Management (NIFTEM) - Thanjavur",Tamil Nadu,JEE Main,105
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",Arunachal Pradesh,JEE Main,106
"Indian Institute of Handloom Technology(IIHT), Varanasi",Uttar Pradesh,JEE Main,107
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",Chhatisgarh,JEE Main,108
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",Odisha,JEE Main,109
"North-Eastern Hill University, Shillong",Meghalaya,JEE Main,110
Central University of Jammu,Jammu & Kashmir,JEE Main,111
National Institute of Technology Sikkim,Sikkim,JEE Main,112
"International Institute of Information Technology, Naya Raipur",Chhatisgarh,JEE Main,113
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Jammu & Kashmir,JEE Main,114
